Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
bard,BARD,noun,poet,The ancient bard Homer sang of the fall of Troy.,"poet, minstrel, lyricist","prose writer, narrator",Old Celtic 'bard' (poet-singer)
barefaced,BAIR-fayst,adjective,shameless; bold; unconcealed,"Shocked by Huck Finn's barefaced lies, Miss Watson prayed for him.","brazen, audacious, impudent","modest, shamefaced, timid",Old English 'bær' (bare) + 'face'
baroque,bah-ROKE,adjective,highly ornate,They found the flamboyance of baroque architecture amusing.,"ornate, flamboyant, elaborate","simple, plain, austere",Portuguese 'barroco' (irregularly shaped pearl)
barrage,bah-RAZH,noun,barrier laid down by artillery fire; overwhelming profusion,The company was forced to retreat through the barrage of heavy cannons.,"bombardment, volley, torrent","silence, calm, trickle",French 'barrer' (to bar/block)
barrister,BAIR-ih-ster,noun,counselor-at-law,Galsworthy started as a barrister but found law boring.,"lawyer, attorney, advocate","layperson, defendant",Middle English 'barre' (bar of a court)
barterer,BAR-ter-er,noun,trader,The barterer exchanged trinkets for the natives' furs.,"trader, merchant, exchanger","buyer, consumer",Old French 'barater' (to exchange)
bask,BASK,verb,luxuriate; take pleasure in warmth,"Basking on the beach, she relaxed so completely she fell asleep.","luxuriate, revel, wallow","suffer, endure, freeze",Old Norse 'baðask' (to bathe oneself)
bastion,BAS-chun,noun,stronghold; something seen as a source of protection,"The villagers fortified the town hall, hoping it could protect them from guerrilla raids.","fortress, stronghold, bulwark","vulnerability, weakness, opening",Italian 'bastione' (large building)
bate,BAYT,verb,let down; restrain,"Until it was time to open the presents, the children had to bate their curiosity.","restrain, curb, reduce","increase, amplify, release","Middle English, variant of 'abate'"
bauble,BAW-bul,noun,trinket; trifle,The child was delighted with the bauble she had won in the grab bag.,"trinket, gewgaw, knickknack","treasure, gem, valuable",Old French 'baubel' (child's toy)
bawdy,BAW-dee,adjective,indecent; obscene,Jack took offense at Jill's bawdy remarks.,"lewd, ribald, vulgar","decent, clean, modest","From 'bawd' (procuress), Middle English 'bawde'"
beatific,bee-ah-TIF-ik,adjective,giving bliss; blissful,The beatific smile on the child's face made us very happy.,"blissful, serene, rapturous","agonized, tormented, miserable","Latin 'beatificus' (making happy), from 'beatus' (blessed)"
beatitude,bee-AT-ih-tood,noun,blessedness; state of bliss,"Growing closer to God, the mystic achieved a state of indescribable beatitude.","bliss, ecstasy, felicity","misery, anguish, despair","Latin 'beatitudo' (happiness), from 'beatus' (blessed)"
bedizen,bih-DY-zen,verb,dress with vulgar finery,The witch doctors were bedizened in their gaudiest costumes.,"adorn garishly, overdress, deck out","simplify, strip, underdress","Be- + 'dizen' (to dress), from Low German 'dise' (distaff)"
bedraggle,bih-DRAG-ul,verb,wet thoroughly,We were so bedraggled by the severe storm that we had to change into dry clothing.,"drench, soak, dishevel","groom, tidy, spruce",Be- + 'draggle' (to make wet and limp)
beeline,BEE-lyn,noun,"direct, quick route","As soon as the movie was over, Jim made a beeline for the exit.","straight path, shortcut, direct route","detour, roundabout, meander",From belief that bees fly straight back to hive
befuddle,bih-FUD-ul,verb,confuse thoroughly,His attempts to clarify the situation succeeded only in befuddling her further.,"confuse, perplex, muddle","clarify, enlighten, illuminate",Be- + 'fuddle' (to make drunk/confused)
beget,bih-GET,verb,father; produce; give rise to,One good turn may deserve another; it does not necessarily beget another.,"produce, engender, generate","destroy, prevent, inhibit","Old English 'begietan' (to acquire, beget)"
begrudge,bih-GRUJ,verb,resent,I begrudge every minute I have to spend attending meetings.,"resent, envy, covet","welcome, appreciate, enjoy",Be- + Middle English 'grucchen' (to grumble)
beguile,bih-GYL,verb,mislead or delude; cheat; pass time,"With flattery and big talk of easy money, the con men beguiled Kyle into betting his allowance.","deceive, delude, charm","enlighten, disillusion, repel","Be- + Old English 'wile' (trick, stratagem)"
behemoth,bih-HEE-muth,noun,huge creature; something of monstrous size or power,Sportscasters nicknamed the linebacker 'The Behemoth.',"giant, colossus, leviathan","dwarf, miniature, pygmy","Hebrew 'b'hemoth' (great beast), from Job 40:15"
beholden,bih-HOL-den,adjective,obligated; indebted,"Since I do not wish to be beholden to anyone, I cannot accept this favor.","indebted, obligated, bound","free, independent, unobligated",Old English 'bihalden' (to hold to)
behoove,bih-HOOV,verb,be suited to; be incumbent upon,"In this time of crisis, it behooves all of us to remain calm.","suit, befit, become","exempt, excuse, absolve","Old English 'behofian' (to need, require)"
belabor,bih-LAY-ber,verb,explain or go over excessively; assail verbally,The debate coach warned her student not to bore the audience by belaboring his point.,"overwork, dwell on, harp on","summarize, abbreviate, skim",Be- + 'labor' (to work hard)
belated,bih-LAY-ted,adjective,delayed,He apologized for his belated note of condolence to the widow of his friend.,"delayed, late, overdue","early, prompt, timely",Be- + past participle of 'late'; Old English 'læt'
beleaguer,bih-LEE-ger,verb,besiege or attack; harass,The babysitter was surrounded by a crowd of unmanageable brats who relentlessly beleaguered her.,"besiege, harass, pester","assist, support, aid","Dutch 'belegeren' (to besiege), from 'leger' (camp)"
belie,bih-LY,verb,contradict; give a false impression,"His coarse, hard-bitten exterior belied his innate sensitivity.","contradict, misrepresent, falsify","confirm, reveal, reflect",Old English 'beleogan' (to deceive by lying)
belittle,bih-LIT-ul,verb,disparage; depreciate,Parents should not belittle their children's early attempts at drawing.,"disparage, deprecate, demean","praise, extol, magnify",Coined by Thomas Jefferson: be- + 'little'
bellicose,BEL-ih-kose,adjective,warlike,His bellicose disposition alienated his friends.,"warlike, aggressive, pugnacious","peaceful, amicable, pacifist","Latin 'bellicosus' (warlike), from 'bellum' (war)"
belligerent,bih-LIJ-er-ent,adjective,quarrelsome,"Whenever he had too much to drink, he became belligerent and tried to pick fights with strangers.","quarrelsome, hostile, aggressive","peaceful, friendly, amicable","Latin 'belligerantem' (waging war), from 'bellum' (war)"
bemoan,bih-MONE,verb,lament; express disapproval of,The widow bemoaned the death of her beloved husband.,"lament, bewail, deplore","celebrate, applaud, rejoice",Old English 'bemænan' (to complain)
bemused,bih-MYOOZD,adjective,confused; lost in thought; preoccupied,Jill studied the garbled instructions with a bemused look on her face.,"confused, puzzled, perplexed","clear-headed, focused, alert",Be- + 'muse' (to ponder); from Old French 'muser'
benediction,ben-ih-DIK-shun,noun,blessing,The appearance of the sun after the many rainy days was like a benediction.,"blessing, invocation, benison","curse, malediction, condemnation","Latin 'benedictio', from 'bene' (well) + 'dicere' (to say)"
