Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
illuminate,ih-LOO-muh-nayt,v.,brighten; clear up or make understandable; enlighten,"Just as a lamp can illuminate a dark room, a perceptive comment can illuminate a knotty problem.","clarify, enlighten","obscure, darken",Latin illuminare (to light up)
illusion,ih-LOO-zhun,n.,misleading vision; false impression,It is easy to create an optical illusion in which lines of equal length appear different.,"mirage, fantasy","reality, fact",Latin illudere (to mock)
illusive,ih-LOO-siv,adj.,deceiving,This is only a mirage; let us not be fooled by its illusive effect.,"deceptive, misleading","real, genuine",Latin illudere (to mock)
illusory,ih-LOO-suh-ree,adj.,deceptive; not real,The costs of running the lemonade stand were so high that Tom's profits proved illusory.,"unreal, deceptive","real, actual",Latin illusorius
imbalance,im-BAL-ans,n.,lack of balance or symmetry; disproportion,"To correct racial imbalance in the schools, school boards have bused children between neighborhoods.","disproportion, asymmetry","balance, symmetry",im- (not) + balance
imbecility,im-buh-SIL-ih-tee,n.,weakness of mind; stupidity,I am amazed at the imbecility of the readers of these trashy magazines.,"stupidity, foolishness","intelligence, wisdom",Latin imbecillus (weak)
imbibe,im-BYBE,v.,drink in; absorb,The dry soil imbibed the rain quickly.,"absorb, ingest","exude, expel",Latin imbibere (to drink in)
imbroglio,im-BROHL-yoh,n.,complicated situation; painful or complex misunderstanding; entanglement,The humor of Shakespearean comedies often depends on cases of mistaken identity in one comic imbroglio after another.,"tangle, entanglement","clarity, order",Italian imbroglio (tangle)
imbue,im-BYOO,v.,saturate; fill,His visits to the famous Gothic cathedrals imbued him with feelings of awe and reverence.,"infuse, instill","drain, empty","Latin imbuere (to wet, stain)"
immaculate,ih-MAK-yuh-lit,adj.,spotless; flawless; absolutely clean,Ken and Jessica left the apartment in immaculate condition when they moved out.,"spotless, pristine","filthy, soiled",Latin immaculatus (unstained)
imminent,IM-uh-nent,adj.,near at hand; impending,Rosa was such a last-minute worker that she could never start writing a paper till the deadline was imminent.,"impending, looming","distant, remote",Latin imminere (to overhang)
immobility,im-oh-BIL-ih-tee,n.,state of being immovable,"Modern armies cannot afford the luxury of immobility, as they are vulnerable to attack while standing still.","stillness, fixity","mobility, motion",Latin immobilis
immolate,IM-uh-layt,v.,offer as a sacrifice,The tribal king offered to immolate his daughter to quiet the angry gods.,"sacrifice, offer up","preserve, save",Latin immolare (to sacrifice)
immune,ih-MYOON,adj.,resistant to; free or exempt from,Florence had contracted chicken pox as a child and was immune to it when her baby came down with spots.,"resistant, exempt","susceptible, vulnerable",Latin immunis (exempt)
immure,ih-MYOOR,v.,imprison; shut up in confinement,"Before the examination, the student immured himself in his room and concentrated upon his studies.","confine, imprison","liberate, free",Latin immurare (to wall in)
immutable,ih-MYOO-tuh-bul,adj.,unchangeable,All things change over time; nothing is immutable.,"fixed, unalterable","changeable, variable",Latin im- (not) + mutabilis (changeable)
impair,im-PAIR,v.,injure; hurt,Drinking alcohol can impair your ability to drive safely.,"damage, weaken","improve, enhance",Latin impejorare (to make worse)
impale,im-PAYL,v.,pierce,He was impaled by the spear hurled by his adversary.,"pierce, skewer",—,Latin impalare (to stake)
impalpable,im-PAL-puh-bul,adj.,imperceptible; intangible,The ash is so fine that it is impalpable to the touch but it can be seen as a fine layer.,"intangible, imperceptible","palpable, tangible",Latin im- + palpare (to touch)
